N;S1;S2;Delta
16495;10.28808;10.28806;1.66893e-06
16496;10.28814;10.28813;1.66893e-06
16497;10.2882;10.28819;1.788139e-06
16498;10.28826;10.28825;1.788139e-06
16499;10.28833;10.28831;1.907349e-06
16500;10.28839;10.28837;1.907349e-06
16501;10.28845;10.28843;1.907349e-06
16502;10.28851;10.28849;1.907349e-06
16503;10.28857;10.28855;2.026558e-06
16504;10.28863;10.28861;2.026558e-06
16505;10.28869;10.28867;2.026558e-06
16506;10.28875;10.28873;2.145767e-06
16507;10.28881;10.28879;2.145767e-06
16508;10.28887;10.28885;2.264977e-06
16509;10.28894;10.28891;2.264977e-06
16510;10.289;10.28897;2.264977e-06
16511;10.28906;10.28903;2.264977e-06
16512;10.28912;10.28909;2.384186e-06
16513;10.28918;10.28916;2.384186e-06
16514;10.28924;10.28922;2.384186e-06
16515;10.2893;10.28928;2.264977e-06
16516;10.28936;10.28934;2.264977e-06
16517;10.28942;10.2894;2.264977e-06
16518;10.28948;10.28946;2.264977e-06
16519;10.28954;10.28952;2.145767e-06
16520;10.2896;10.28958;2.145767e-06
16521;10.28966;10.28964;2.145767e-06
16522;10.28972;10.2897;2.026558e-06
16523;10.28978;10.28976;2.026558e-06
16524;10.28984;10.28982;1.907349e-06
16525;10.2899;10.28988;1.907349e-06
16526;10.28996;10.28994;1.907349e-06
16527;10.29002;10.29;1.907349e-06
16528;10.29008;10.29006;1.788139e-06
16529;10.29014;10.29012;1.788139e-06
16530;10.2902;10.29018;1.66893e-06
16531;10.29026;10.29024;1.66893e-06
16532;10.29032;10.2903;1.66893e-06
16533;10.29038;10.29037;1.549721e-06
16534;10.29044;10.29043;1.549721e-06
16535;10.2905;10.29049;1.430511e-06
16536;10.29056;10.29055;1.430511e-06
16537;10.29062;10.29061;1.430511e-06
16538;10.29068;10.29067;1.430511e-06
16539;10.29074;10.29073;1.430511e-06
16540;10.2908;10.29079;1.311302e-06
16541;10.29086;10.29085;1.311302e-06
16542;10.29092;10.29091;1.311302e-06
16543;10.29098;10.29097;1.192093e-06
16544;10.29104;10.29103;1.192093e-06
16545;10.2911;10.29109;1.192093e-06
16546;10.29116;10.29115;1.072884e-06
16547;10.29122;10.29121;1.072884e-06
16548;10.29128;10.29127;1.072884e-06
16549;10.29134;10.29133;1.072884e-06
16550;10.2914;10.29139;1.072884e-06
16551;10.29146;10.29145;9.536743e-07
16552;10.29152;10.29151;9.536743e-07
16553;10.29158;10.29157;9.536743e-07
16554;10.29164;10.29163;8.34465e-07
16555;10.2917;10.29169;8.34465e-07
16556;10.29176;10.29175;8.34465e-07
16557;10.29182;10.29182;7.152557e-07
16558;10.29188;10.29188;7.152557e-07
16559;10.29194;10.29194;7.152557e-07
16560;10.292;10.292;5.960464e-07
16561;10.29206;10.29206;5.960464e-07
16562;10.29212;10.29212;5.960464e-07
16563;10.29218;10.29218;5.960464e-07
16564;10.29224;10.29224;5.960464e-07
16565;10.2923;10.2923;5.960464e-07
16566;10.29236;10.29236;4.768372e-07
16567;10.29242;10.29242;4.768372e-07
16568;10.29248;10.29248;4.768372e-07
16569;10.29254;10.29254;4.768372e-07
16570;10.2926;10.2926;3.576279e-07
16571;10.29266;10.29266;3.576279e-07
16572;10.29272;10.29272;3.576279e-07
16573;10.29278;10.29278;2.384186e-07
16574;10.29284;10.29284;2.384186e-07
16575;10.2929;10.2929;2.384186e-07
16576;10.29296;10.29296;2.384186e-07
16577;10.29303;10.29302;2.384186e-07
16578;10.29309;10.29308;2.384186e-07
16579;10.29315;10.29314;2.384186e-07
16580;10.29321;10.2932;1.192093e-07
16581;10.29327;10.29326;1.192093e-07
16582;10.29333;10.29332;1.192093e-07
16583;10.29339;10.29338;1.192093e-07
16584;10.29345;10.29344;1.192093e-07
16585;10.29351;10.29351;0
16586;10.29357;10.29357;0
16587;10.29363;10.29363;0
16588;10.29369;10.29369;0
16589;10.29375;10.29375;0
